id,gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,math_score,history_score,physics_score,chemistry_score,biology_score,english_score,geography_score,EXT,AGR,CON,NEG,OPE,coding,cooking,dancing,gaming,music,painting,photography,reading,sports,tech,travel,writing,age_13-18,age_18-25,age_26-30,age_31-40,age_41-50,age_60
16,1,0,0.6,0,0,3,0.898305085,0.177087451,0.587039183,0.402310512,0.7,0.541124226,0.728291112,0.615,0.5275,0.0775,0,0.385,0,0,1,1,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17,0,0,0.3,1,0.638297872,11,0.86440678,0.407502965,0.868603376,0.850577628,0.714285714,0.80586025,0.524509446,0.3,0.2675,0,0.6275,0.295,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
18,1,0,0.2,1,0.595744681,13,0.762711864,0.720209733,0.718435807,0.651347799,0.9,0.576422363,0.609418474,0.9,0.645,0.4075,0.7025,0.0425,0,0,0,0,0,1,0,1,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
19,1,0,0.1,0,0.787234043,6,0.86440678,0.786042737,0.84983243,0.983397514,0.957142857,0.770562113,0.762254723,0.1925,0.3375,0.845,0.2325,0.38,0,0,0,0,0,1,1,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
20,0,0,0.2,0,0.574468085,13,0.983050847,0.423961216,0.962458108,0.584937856,0.514285714,0.50582609,1,0.5825,0.2925,0.255,0.5325,0.4275,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
21,1,1,0.3,0,0.319148936,13,1,0.83541749,0.474413506,0.966795028,0.614285714,0.947052795,0.524509446,0.4825,0.645,0.1875,0.1725,0.48,1,0,1,0,0,0,0,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
22,1,0,0.8,0,0.085106383,3,0.271186441,0.259378706,0.587039183,0.900385085,0.757142857,0.788211181,0.796218334,0.835,0.33,0.7,0.2925,0.28,1,0,0,0,0,0,1,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
23,0,0,0.9,0,0.042553191,3,0.813559322,0.539168973,0.399329721,0.535130399,0.585714286,0.188142862,0.830181945,0.09,0.7975,0.4925,0.1925,0.15,1,0,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
24,1,0,0.9,0,0.021276596,3,0.152542373,0.605001976,0.643352022,0.25288814,0.371428571,0.647018636,0.643382085,0.33,0.475,0.46,0.3925,0.3075,0,0,0,0,0,0,0,0,1,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
25,0,0,0.4,0,0.744680851,13,0.779661017,0.851875741,0.812290538,0.800770171,0.928571429,0.788211181,0.881127362,0.8075,0.4375,0.135,0.3625,0.095,0,0,0,0,1,0,1,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
26,0,0,0.5,0,0.468085106,6,0.86440678,0.769584486,0.755977699,0.68455277,0.9,0.823509318,0.983018195,0.1925,0.515,0.1375,0.12,0.495,1,1,0,0,0,0,1,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
27,1,0,0.3,0,0.723404255,2,1,0.621460227,0.624581076,0.900385085,0.471428571,0.823509318,0.830181945,0.7075,0.475,0.9525,0.52,0.5575,1,0,1,0,0,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
28,1,0,0,0,0.489361702,16,0.389830508,0.588543726,0.868603376,0.651347799,0.728571429,0.929403727,0.745272918,0.2325,0.605,0.325,0.525,0.0525,0,0,0,0,1,0,0,0,0,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
29,1,0,0.1,1,0.361702128,0,0.644067797,0.423961216,0.981229054,0.518527913,0.657142857,0.594071431,0.711309307,0.385,0.565,0.5525,0.36,1,0,0,0,0,1,0,1,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
30,0,0,0.3,0,0.404255319,0,0.694915254,1,0.267933097,0.950192543,0,0.541124226,0.541491252,0.195,0.5475,0.3175,0.4075,0.5575,0,0,1,0,0,0,0,0,0,1,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
31,0,0,0,0,0.29787234,13,0.796610169,0.48979422,0.755977699,1,0.828571429,0.735263977,0.524509446,0.485,0.29,0.575,0.5925,0.6875,0,1,0,0,0,0,1,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
32,0,0,0.4,0,0.638297872,5,0.491525424,0.473335969,0.84983243,0.56833537,0.742857143,0.735263977,0.524509446,0.4125,0.2,1,0.5125,0.38,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33,1,0,0.4,0,0.638297872,0,0.610169492,0.934166996,0.962458108,0.817372657,0.785714286,0.329335408,0.354691391,0.2525,1,0.1275,0.2275,0.535,0,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
34,0,0,0.1,0,0.510638298,2,0.983050847,0.736667984,0.69966486,0.634745313,0.685714286,0.594071431,0.456582224,0.66,0.7325,0.5225,0.63,0.8625,0,1,0,0,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
35,0,0,0.3,1,0.659574468,12,0.830508475,0.884792243,0.831061484,0.667950285,0.8,0.452878885,0.354691391,0.09,0.66,0.3875,0.6275,0.4325,0,1,0,0,0,1,1,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
36,0,0,0.1,0,0.446808511,12,0.406779661,0.506252471,0.587039183,0.966795028,0.714285714,0.39993168,0.405636808,0.16,0.1125,0.56,0.1425,0.35,0,1,0,0,0,0,1,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37,1,0,0.2,1,0.404255319,4,0.983050847,0.901250494,0.755977699,0.518527913,0.842857143,0.841158386,0.932072778,0.5275,0.6075,0.0275,0.6225,0.245,0,0,0,1,0,0,0,1,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
38,1,0,0.1,0,0.617021277,4,0.86440678,1,0.718435807,0.817372657,0.728571429,0.841158386,0.796218334,0.48,0.7975,0.275,0.4575,0.4875,0,0,0,0,1,0,1,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
39,1,0,0.4,0,0.446808511,2,0.610169492,0.407502965,0.324245936,0.800770171,0.914285714,0.682316772,0.626400279,0.4825,0.36,0.305,0.34,0.68,1,0,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
40,1,0,0.4,0,0.382978723,0,0.86440678,0.341669961,0.361787828,0.784167685,0.428571429,0.69996584,0.915090973,0.4075,0.5625,0.3075,0.4975,0.555,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
41,0,0,0.4,0,0.659574468,13,0.745762712,0.950625247,0.324245936,0.833975142,0.7,0.664667704,0.677345696,0.3175,0.975,0.7075,0.475,0.2,0,0,0,0,1,0,0,0,0,0,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
42,1,1,0.7,0,0.085106383,3,0.406779661,0.259378706,0.361787828,0.169875712,0.828571429,0.223440998,0.762254723,0.365,0.3425,0.1875,0.31,0.55,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
43,0,1,0.6,0,0.063829787,3,0.881355932,0.901250494,0.84983243,0.618142827,0.814285714,0.964701864,0.371673197,1,0.525,0.545,0.0075,0.3475,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
44,0,0,0.4,0,0.063829787,7,0.949152542,0.983541749,0.718435807,0.933590057,0.871428571,0.435229817,0.422618613,0.415,0,0.4525,0.1325,0.13,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
45,1,1,0.4,0,0.063829787,3,0.220338983,0.983541749,0.605810129,0.286093112,0.328571429,0.911754659,0.711309307,0.115,0.515,0.125,0.5625,0.69,0,0,0,0,0,1,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
46,1,1,0.5,1,0.106382979,3,0.796610169,0.226462204,0.061452689,0.302695598,0.771428571,0.170493794,0.932072778,0.42,0.71,0.1825,0.165,0.455,0,0,0,0,0,0,1,1,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
47,0,0,0.5,1,0.574468085,9,0.508474576,0.753126235,0.868603376,0.468720455,1,0.841158386,0.779236529,0.275,0.7575,0.0975,0.52,0.8675,0,0,1,0,0,0,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
48,1,0,0,1,0.595744681,14,0.677966102,0.967083498,0.511955398,0.501925427,0.957142857,0.382282612,0.405636808,0.7,0.855,0.33,0.28,0.635,0,0,0,0,0,0,0,1,1,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
49,0,0,0.4,0,0.680851064,12,0.661016949,0.637918478,0.737206753,0.667950285,0.485714286,0.435229817,1,0.6975,0.6075,0.6675,0.5175,0.6,0,0,0,0,0,0,0,0,1,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
50,0,0,0,0,0.29787234,0,1,0.818959239,0.812290538,0.8837826,0,0.69996584,0.558473057,0.1725,0.625,0.5375,0.8925,0,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
51,1,0,0.6,1,0.340425532,14,0.593220339,0.539168973,0.924916215,0.418912998,0.842857143,0.770562113,0.898109167,0.8475,0.5225,0.4425,0.5275,0.5075,0,0,0,0,1,0,0,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
52,0,0,0.2,0,0.510638298,9,0.983050847,0.687293231,0.493184452,0.501925427,0.785714286,0.752913045,0.337709586,0.0925,0.03,0.5725,0.735,0.6,0,0,0,0,1,0,0,0,1,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
53,1,0,0.9,0,0,3,0.389830508,0.506252471,0.267933097,0.68455277,0.742857143,0.135195657,0.490545835,0.64,0.29,0.39,0.35,0.64,0,0,0,0,1,0,0,0,1,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
54,0,0,0.3,0,0.680851064,2,0.830508475,0.934166996,0.737206753,0.352503055,0.842857143,0.964701864,0.456582224,0.705,0.8725,0.495,0.4275,0.36,0,0,0,0,0,1,0,0,0,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
55,1,0,0.2,0,0.063829787,7,0.745762712,1,0.84983243,0.468720455,0.428571429,0.594071431,0.711309307,0.24,0.835,0.3975,0.215,0.46,0,0,0,0,0,0,1,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
56,0,0,0.6,0,0.659574468,13,0.847457627,0.341669961,0.69966486,0.800770171,0.657142857,0.488177022,0.983018195,0.54,0.48,0.59,0.345,0.3925,0,0,0,1,0,0,0,0,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,0,0,0.3,0,0.446808511,12,0.915254237,0.539168973,0.605810129,0.767565199,0.814285714,0.664667704,0.354691391,0.2425,0.305,0.8875,0.31,0.22,1,0,0,1,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
58,1,1,0.2,0,0.382978723,2,0.898305085,0.637918478,0.493184452,0.950192543,0.528571429,0.611720499,0.983018195,0.1925,0.3775,0.7525,0.2625,1,1,1,0,0,0,0,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
59,1,0,0.7,0,0.553191489,13,0.898305085,0.818959239,0.324245936,0.933590057,0.871428571,0.911754659,0.609418474,0.7075,0.08,0.8775,0.575,0.51,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
60,1,0,0.4,0,0.489361702,13,0.813559322,0.983541749,0.812290538,0.651347799,0.785714286,0.929403727,0.966036389,0.225,0.8425,0.7175,0.415,0.2475,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
61,0,0,0.2,0,0.021276596,7,0.847457627,0.687293231,0.774748645,0.518527913,0.685714286,0.69996584,0.592436668,0.5675,0.53,0,0.675,0,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
62,0,0,0.5,0,0.70212766,9,0.711864407,0.769584486,0.267933097,0.983397514,0.985714286,0.788211181,0.541491252,0.4125,0.8775,0.62,0.725,0.3925,1,0,0,1,0,0,0,1,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
63,1,0,0.7,0,0.042553191,3,0.966101695,0.423961216,0.117765528,0.402310512,0.314285714,0.929403727,0.354691391,0.35,0.405,0.4575,0.7025,0.49,0,0,1,1,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
64,0,0,0.1,0,0.723404255,2,0.711864407,0.950625247,0.343016882,0.800770171,0.528571429,0.911754659,0.47356403,0.2625,0.4075,0.4325,0.38,0.3375,0,0,0,0,0,1,1,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
65,1,0,0.2,0,0.382978723,4,0.847457627,0.555627224,0.981229054,0.501925427,0.471428571,0.647018636,0.626400279,0.26,0.8975,0,0.5025,0.605,0,0,0,0,1,0,0,0,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66,0,1,0.6,0,0.042553191,3,0.830508475,0.242920455,0.568268237,0.56833537,0.657142857,0.929403727,0.796218334,0.4175,0.48,0.3975,0,0.34,1,0,0,1,1,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
67,1,0,0.3,0,0.574468085,13,0.86440678,0.769584486,0.361787828,0.485322941,1,0.488177022,0.66036389,0.325,0.245,0.3775,0.4875,0.3275,0,0,0,0,1,0,0,0,1,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
68,1,0,0.2,0,0.170212766,10,0.389830508,0.407502965,0.493184452,0.601540342,0.6,0.947052795,0.847163751,0.5725,0.6975,0.4775,0.23,0.4725,0,0,0,0,0,0,1,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
69,1,0,0.4,0,0.29787234,13,0.830508475,0.506252471,0.718435807,0.335900569,0.728571429,0.488177022,0.796218334,0.3125,0.9275,0.85,0.39,0.545,0,0,1,0,1,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
70,1,0,1,1,0.468085106,2,0.983050847,0.687293231,0.924916215,0.485322941,0.871428571,0.770562113,0.711309307,0.2725,0.41,0.8925,0.41,0.7025,1,0,1,0,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
71,0,0,0.1,0,0.319148936,5,0.813559322,0.440419467,0.868603376,0.68455277,0.8,0.788211181,0.490545835,0.305,0.46,0.3675,0.525,0.4175,0,0,1,0,0,0,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
72,0,1,0.3,0,0.468085106,16,0.355932203,0.786042737,0.868603376,0.717757742,0.9,0.947052795,0.541491252,0.6675,0.4175,0.525,0.1675,0.2675,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
73,1,1,1,0,0.021276596,3,0.338983051,0.506252471,0.418100667,0.402310512,0.414285714,0.611720499,0.66036389,0.315,1,0.4875,0.3825,0.445,0,1,1,0,0,0,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
74,1,1,0.8,0,0.063829787,3,0.169491525,0.242920455,0.361787828,0.784167685,0.985714286,0.258739135,0.456582224,0.735,0.2825,0.5225,0.275,0.265,0,0,0,0,0,0,0,1,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
75,0,0,0.2,0,0.425531915,13,0.745762712,1,0.324245936,0.468720455,0.614285714,0.664667704,0.779236529,0.53,0.2125,0.545,0.64,0.6275,1,1,0,0,0,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
76,0,0,0.7,1,0.574468085,13,0.983050847,0.83541749,0.924916215,0.867180114,1,0.964701864,0.609418474,0.62,0.3675,0.22,0.3875,0.91,0,1,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
77,0,0,0.3,0,0.510638298,13,0.779661017,0.391044714,0.249162151,0.833975142,0.842857143,0.982350932,0.66036389,0.695,0.295,0.445,0.445,0.825,0,0,0,0,1,0,0,0,0,1,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
78,0,0,0.1,1,0.106382979,12,0.576271186,0.851875741,0.624581076,0.8837826,0.628571429,0.876456522,0.405636808,0.5975,0.745,0.2375,0.245,0.885,0,0,0,0,0,1,1,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
79,0,0,0.7,0,0.723404255,12,0.796610169,0.901250494,0.624581076,0.385708027,0.542857143,0.594071431,0.388655002,0.55,0.3175,0,0.45,0.175,0,0,0,0,0,0,0,1,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
80,1,0,0.3,0,0.340425532,13,0.779661017,0.654376729,0.793519592,0.468720455,0.9,0.558773294,0.864145556,0.745,0.445,0.21,0.985,0.5125,0,1,0,0,0,0,0,1,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
81,0,1,0.3,0,0.063829787,3,0.779661017,0.456877718,0.887374323,0.867180114,0.457142857,0.258739135,0.405636808,0,0.4,0.3325,0.6325,0.2175,0,0,1,0,0,0,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
82,0,0,0.1,0,0.319148936,14,0.593220339,0.456877718,0.680893914,0.750962713,0.871428571,0.311686339,0.439600419,0.755,0.5725,0.2725,0.85,0.5725,0,0,0,0,1,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
83,0,0,0.7,0,0.234042553,8,0.322033898,0.67083498,0.267933097,0.385708027,0.928571429,0.858807454,0.575454863,0.62,0.485,0.14,0.5675,0.1375,1,0,0,0,0,0,0,1,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
84,1,0,0.7,0,0.680851064,11,0.745762712,0.423961216,0.981229054,1,0.828571429,0.876456522,0.524509446,0.2625,0.5025,0,0.4125,0.55,0,0,0,0,1,0,1,0,1,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
85,1,0,0.3,0,0.595744681,12,0.542372881,0.456877718,0.436871613,0.518527913,0.5,0.523475158,0.779236529,0.3825,0.485,0.77,0,0.76,0,0,0,0,0,0,0,0,0,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
86,1,0,0.1,0,0.510638298,13,0.745762712,0.522710722,0.418100667,0.667950285,0.571428571,0.594071431,0.422618613,0.3525,0,0.46,0.5725,0.74,0,1,0,0,1,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
87,0,0,0.2,0,0.191489362,8,0.847457627,0.605001976,0.45564256,0.535130399,0.885714286,0.417580749,0.830181945,0.1325,0.38,0.5925,0.525,0.405,0,1,0,0,0,0,0,0,1,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
88,0,0,0.3,1,0.29787234,13,0.983050847,0.917708745,0.680893914,0.817372657,0.728571429,0.346984476,0.490545835,0.15,0.68,0.4525,0.6125,0,0,0,1,1,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
89,1,0,0.3,0,0.340425532,14,0.881355932,0.934166996,0.399329721,0.784167685,0.557142857,0.80586025,1,0.4725,0.335,0.62,0.235,0.7225,0,0,1,0,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
90,1,0,0.3,0,0.617021277,13,0.813559322,0.588543726,0.249162151,0.667950285,0.457142857,0.735263977,0.541491252,0.4675,0.5925,0.29,0.64,0.13,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
91,1,0,0,0,0.29787234,0,0.915254237,0.637918478,0.906145269,0.551732884,0.028571429,0.382282612,0.456582224,0.665,0.66,0.6825,0.385,0.66,0,0,0,0,1,0,0,0,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
92,1,0,0.4,0,0.212765957,8,0.457627119,0.703751482,0.906145269,0.385708027,0.457142857,0.964701864,0.881127362,0.5375,0.225,0.6625,0.6675,0.2125,1,0,0,1,0,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
93,1,0,0.5,0,0.659574468,13,0.966101695,0.555627224,0.493184452,0.618142827,0.814285714,0.964701864,0.711309307,0.545,0.91,0.8875,0.605,0.4625,0,0,0,0,1,0,0,0,0,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
94,1,0,0.4,0,0.723404255,14,0.644067797,0.868333992,0.605810129,0.601540342,0.771428571,0.417580749,0.762254723,0.5775,0.9575,0.885,0.5675,0.4125,0,1,0,0,0,0,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
95,0,0,0.5,0,0.063829787,12,0.627118644,0.654376729,0.493184452,0.933590057,0.485714286,0.876456522,0.745272918,0.4925,0.455,0.5825,0.5175,0.9875,1,0,0,0,0,0,0,0,0,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
96,0,0,0.2,1,0.723404255,13,1,0.967083498,0.793519592,0.750962713,0.728571429,0.364633544,0.898109167,0.3,0.4775,0.3525,0.0775,0.52,0,0,0,0,0,0,1,0,0,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
97,0,0,0.3,1,0.042553191,1,0.762711864,0.605001976,0.69966486,0.8837826,0.657142857,0.452878885,0.847163751,0.6175,0.5225,0.33,0.5275,0.3725,1,0,0,0,0,1,0,1,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
98,1,0,0.3,0,0.085106383,10,0.779661017,0.818959239,0.868603376,0.966795028,0.7,0.50582609,0.796218334,0.895,0.825,0.27,0.345,0.3925,0,0,1,0,0,0,0,1,0,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
99,1,1,0,0,0.595744681,9,1,0.884792243,0.718435807,0.352503055,0.942857143,0.69996584,0.762254723,0.7125,0.9325,0.2525,0.4525,0.3325,0,0,1,0,0,1,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
100,0,0,0,0,0.106382979,7,0.745762712,0.818959239,0.887374323,0.485322941,0.985714286,0.876456522,0.966036389,0.35,0.7325,0.05,0.3275,0.53,0,0,0,0,0,0,0,1,1,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
